Price,Bedrooms,Bathrooms,Garage,Furnished,Amenity_Annexe (Boys' quarters),Amenity_Garage,Amenity_Garden,Amenity_Generator,Amenity_Refrigerator,Amenity_Swimming pool,Amenity_Pets allowed,Amenity_Open car spaces,Amenity_Fans,Amenity_Water reservoir,Amenity_Microwave,Amenity_Internet,Amenity_Security service,Amenity_Secure parking,Amenity_Washing machine,Amenity_Air conditioning,Amenity_Cooker,Amenity_Dstv,Amenity_Roof terrace,LogPrice,comfortFeatures,utilityFeatures,connectivityFeatures,luxuryFeatures,exSpace
2600.0,2,1,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7.8632667240095735,2,1,0,1,0
9000.0,4,4,3,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9.104979856318357,0,3,0,1,0
5000.0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.517193191416238,0,0,0,0,0
3000.0,2,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.006367567650246,1,1,0,0,0
23205.0,2,2,4,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,10.052123051675276,5,3,0,1,0
20111.0,2,2,4,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,9.909022208034603,5,3,0,0,0
69614.0,4,5,4,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,11.150720975519965,6,3,2,3,1
6000.0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.699514748210191,1,1,0,0,0
61879.0,4,3,4,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,11.032936144246145,5,3,2,0,1
5500.0,3,4,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,8.612503371220562,6,1,0,1,0
1920.0,2,3,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,7.560080465021827,5,2,1,0,0
32486.0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,10.38856450627934,6,3,2,0,0
12000.0,2,2,2,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,9.392661928770137,5,3,2,1,0
72000.0,4,5,4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,11.184421397998193,6,4,2,3,1
8500.0,2,3,3,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,9.047821442478408,4,2,2,1,0
11446.0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,9.345395602969047,2,2,0,0,0
22000.0,10,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,9.998797732340453,1,2,0,0,0
3500.0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.160518247477505,1,0,0,0,0
27846.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.23444460846923,0,0,0,0,0
54144.0,3,3,2,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,10.899402442965895,5,4,0,2,0
66520.0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,11.105257933306865,4,0,0,0,0
61879.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.032936144246145,0,0,0,0,0
23205.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.052123051675276,0,0,0,0,0
61724.0,4,4,4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,11.030428113191096,6,4,2,3,1
62000.0,4,5,2,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,11.03488966402723,6,3,0,3,1
21998.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998706819117062,0,0,0,0,0
23205.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.052123051675276,0,0,0,0,0
30940.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.339805124127057,0,0,0,0,0
12000.0,6,6,8,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,9.392661928770137,6,2,1,0,1
30940.0,4,4,5,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,10.339805124127057,5,1,0,1,0
6500.0,2,2,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8.779557455883728,1,2,1,0,0
